name,shape,dtype,elements,byte_size,layer,module
lm_head.weight,130560x1536,BF16,200540160,401080320,global,lm_head
model.embed_tokens.weight,130560x1536,BF16,200540160,401080320,global,model.embed_tokens
model.layers.0.input_layernorm.weight,1536,BF16,1536,3072,layer.0,input_layernorm
model.layers.0.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.0,mlp.down_proj
model.layers.0.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.0,mlp.gate_proj
model.layers.0.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.0,mlp.up_proj
model.layers.0.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.0,post_attention_layernorm
model.layers.0.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.0,self_attn.k_proj
model.layers.0.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.0,self_attn.o_proj
model.layers.0.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.0,self_attn.q_proj
model.layers.0.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.0,self_attn.v_proj
model.layers.1.input_layernorm.weight,1536,BF16,1536,3072,layer.1,input_layernorm
model.layers.1.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.1,mlp.down_proj
model.layers.1.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.1,mlp.gate_proj
model.layers.1.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.1,mlp.up_proj
model.layers.1.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.1,post_attention_layernorm
model.layers.1.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.1,self_attn.k_proj
model.layers.1.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.1,self_attn.o_proj
model.layers.1.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.1,self_attn.q_proj
model.layers.1.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.1,self_attn.v_proj
model.layers.10.input_layernorm.weight,1536,BF16,1536,3072,layer.10,input_layernorm
model.layers.10.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.10,mlp.down_proj
model.layers.10.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.10,mlp.gate_proj
model.layers.10.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.10,mlp.up_proj
model.layers.10.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.10,post_attention_layernorm
model.layers.10.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.10,self_attn.k_proj
model.layers.10.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.10,self_attn.o_proj
model.layers.10.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.10,self_attn.q_proj
model.layers.10.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.10,self_attn.v_proj
model.layers.11.input_layernorm.weight,1536,BF16,1536,3072,layer.11,input_layernorm
model.layers.11.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.11,mlp.down_proj
model.layers.11.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.11,mlp.gate_proj
model.layers.11.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.11,mlp.up_proj
model.layers.11.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.11,post_attention_layernorm
model.layers.11.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.11,self_attn.k_proj
model.layers.11.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.11,self_attn.o_proj
model.layers.11.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.11,self_attn.q_proj
model.layers.11.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.11,self_attn.v_proj
model.layers.12.input_layernorm.weight,1536,BF16,1536,3072,layer.12,input_layernorm
model.layers.12.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.12,mlp.down_proj
model.layers.12.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.12,mlp.gate_proj
model.layers.12.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.12,mlp.up_proj
model.layers.12.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.12,post_attention_layernorm
model.layers.12.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.12,self_attn.k_proj
model.layers.12.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.12,self_attn.o_proj
model.layers.12.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.12,self_attn.q_proj
model.layers.12.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.12,self_attn.v_proj
model.layers.13.input_layernorm.weight,1536,BF16,1536,3072,layer.13,input_layernorm
model.layers.13.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.13,mlp.down_proj
model.layers.13.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.13,mlp.gate_proj
model.layers.13.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.13,mlp.up_proj
model.layers.13.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.13,post_attention_layernorm
model.layers.13.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.13,self_attn.k_proj
model.layers.13.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.13,self_attn.o_proj
model.layers.13.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.13,self_attn.q_proj
model.layers.13.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.13,self_attn.v_proj
model.layers.14.input_layernorm.weight,1536,BF16,1536,3072,layer.14,input_layernorm
model.layers.14.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.14,mlp.down_proj
model.layers.14.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.14,mlp.gate_proj
model.layers.14.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.14,mlp.up_proj
model.layers.14.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.14,post_attention_layernorm
model.layers.14.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.14,self_attn.k_proj
model.layers.14.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.14,self_attn.o_proj
model.layers.14.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.14,self_attn.q_proj
model.layers.14.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.14,self_attn.v_proj
model.layers.15.input_layernorm.weight,1536,BF16,1536,3072,layer.15,input_layernorm
model.layers.15.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.15,mlp.down_proj
model.layers.15.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.15,mlp.gate_proj
model.layers.15.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.15,mlp.up_proj
model.layers.15.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.15,post_attention_layernorm
model.layers.15.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.15,self_attn.k_proj
model.layers.15.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.15,self_attn.o_proj
model.layers.15.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.15,self_attn.q_proj
model.layers.15.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.15,self_attn.v_proj
model.layers.16.input_layernorm.weight,1536,BF16,1536,3072,layer.16,input_layernorm
model.layers.16.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.16,mlp.down_proj
model.layers.16.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.16,mlp.gate_proj
model.layers.16.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.16,mlp.up_proj
model.layers.16.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.16,post_attention_layernorm
model.layers.16.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.16,self_attn.k_proj
model.layers.16.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.16,self_attn.o_proj
model.layers.16.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.16,self_attn.q_proj
model.layers.16.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.16,self_attn.v_proj
model.layers.17.input_layernorm.weight,1536,BF16,1536,3072,layer.17,input_layernorm
model.layers.17.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.17,mlp.down_proj
model.layers.17.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.17,mlp.gate_proj
model.layers.17.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.17,mlp.up_proj
model.layers.17.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.17,post_attention_layernorm
model.layers.17.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.17,self_attn.k_proj
model.layers.17.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.17,self_attn.o_proj
model.layers.17.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.17,self_attn.q_proj
model.layers.17.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.17,self_attn.v_proj
model.layers.18.input_layernorm.weight,1536,BF16,1536,3072,layer.18,input_layernorm
model.layers.18.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.18,mlp.down_proj
model.layers.18.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.18,mlp.gate_proj
model.layers.18.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.18,mlp.up_proj
model.layers.18.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.18,post_attention_layernorm
model.layers.18.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.18,self_attn.k_proj
model.layers.18.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.18,self_attn.o_proj
model.layers.18.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.18,self_attn.q_proj
model.layers.18.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.18,self_attn.v_proj
model.layers.19.input_layernorm.weight,1536,BF16,1536,3072,layer.19,input_layernorm
model.layers.19.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.19,mlp.down_proj
model.layers.19.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.19,mlp.gate_proj
model.layers.19.mlp.up_proj.weight,4608x1536,BF16,7077888,14155776,layer.19,mlp.up_proj
model.layers.19.post_attention_layernorm.weight,1536,BF16,1536,3072,layer.19,post_attention_layernorm
model.layers.19.self_attn.k_proj.weight,256x1536,BF16,393216,786432,layer.19,self_attn.k_proj
model.layers.19.self_attn.o_proj.weight,1536x2048,BF16,3145728,6291456,layer.19,self_attn.o_proj
model.layers.19.self_attn.q_proj.weight,2048x1536,BF16,3145728,6291456,layer.19,self_attn.q_proj
model.layers.19.self_attn.v_proj.weight,256x1536,BF16,393216,786432,layer.19,self_attn.v_proj
model.layers.2.input_layernorm.weight,1536,BF16,1536,3072,layer.2,input_layernorm
model.layers.2.mlp.down_proj.weight,1536x4608,BF16,7077888,14155776,layer.2,mlp.down_proj
model.layers.2.mlp.gate_proj.weight,4608x1536,BF16,7077888,14155776,layer.2,mlp.gate_proj
